URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-addition-peri-transplant-vs,0.1.12,draft,,RxNormAdditionalPeriTransplantVS,RxNorm - Additional Drugs in Peri-Transplant Period,"RxNorm codes for Additional Drugs in Peri-Transplant Period","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-additional-peri-transplant-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-alemtuzumab-vs,0.1.12,draft,,RxNormAlemtuzumabVS,RxNorm - Alemtuzumab,"RxNorm codes for Alemtuzumab",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-all-form2400-vs,0.1.12,draft,,RxNormAll2400VS,RxNorm - All of Form 2400,"RxNorm codes for all of Form 2400",,
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-anti-thymocyte-globulin-vs,0.1.12,draft,,RxNormAntiThymocyteGlobulinVS,RxNorm - Anti-Thymocyte Globulin,"RxNorm codes for Anti-Thymocyte Globulin",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-bortezomib-vs,0.1.12,draft,,RxNormBortezomibVS,RxNorm - Bortezomib,"RxNorm codes for Bortezomib",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-busulfan-vs,0.1.12,draft,,RxNormBusulfanVS,RxNorm - Busulfan,"RxNorm codes for Busulfan",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-carmustine-vs,0.1.12,draft,,RxNormCarmustineVS,RxNorm - Carmustine,"RxNorm codes for Carmustine",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-cyclophosphamide-vs,0.1.12,draft,,RxNormCyclophosphamideVS,RxNorm - Cyclophosphamide,"RxNorm codes for Cyclophosphamide",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-cytarabine-vs,0.1.12,draft,,RxNormCytarabineVS,RxNorm - Cytarabine,"RxNorm codes for Cytarabine",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-defibrotide-vs,0.1.12,draft,,RxNormDefibrotideVS,RxNorm - Defibrotide,"RxNorm codes for Defibrotide",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-etoposide-vs,0.1.12,draft,,RxNormEtoposideVS,RxNorm - Etoposide,"RxNorm codes for Etoposide",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-fludarabine-vs,0.1.12,draft,,RxNormFludarabineVS,RxNorm - Fludarabine,"RxNorm codes for Fludarabine",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-gvhd-prophylaxis-vs,0.1.12,draft,,RxNormGVHDProphylaxisVS,RxNorm - GVHD Prophylaxis,"RxNorm codes for GVHD Prophylaxis","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-gvhd-prophylaxis-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-melphalan-vs,0.1.12,draft,,RxNormMelphalanVS,RxNorm - Melphalan,"RxNorm codes for Melphalan",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-mobilizing-agents-vs,0.1.12,draft,,RxNormMobilizingAgentsVS,RxNorm - Mobilizing Agents (auto only),"RxNorm codes for Mobilizing Agents (auto only)","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-mobilizing-agent-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-post-hct-disease-therapy-planned-vs,0.1.12,draft,,RxNormPostHCTDiseaseTherapyPlannedVS,RxNorm - Post-HCT Disease Therapy Planned,"RxNorm codes for Post-HCT Disease Therapy Planned","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-prep-regimen-vs,0.1.12,draft,,RxNormPrepRegimenVS,RxNorm - Prep Regimen,"RxNorm codes for Prep Regimen","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-prep-regimen-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-prior-exposure-vs,0.1.12,draft,,RxNormPriorExposureVS,RxNorm - Prior Exposure: Potential Study Eligibility,"Prior Exposure: Potential Study Eligibility","ValueSet/med-all-form2400-vs,StructureDefinition/cibmtr-prior-exposure-medication","RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-rituximab-vs,0.1.12,draft,,RxNormRituximabVS,RxNorm - Rituximab,"RxNorm codes for Rituximab",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-thiotepa-vs,0.1.12,draft,,RxNormThiotepaVS,RxNorm - Thiotepa,"RxNorm codes for Thiotepa",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-treosulfan-vs,0.1.12,draft,,RxNormTreosulfanVS,RxNorm - Treosulfan,"RxNorm codes for Treosulfan",,"RxNorm"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/med-ursodiol-vs,0.1.12,draft,,RxNormUrsodiolVS,RxNorm - Ursodiol,"RxNorm codes for Ursodiol",,"RxNorm"
